U+0800  ,ࠀ  ,SAMARITAN LETTER ALAF
U+0801  ,ࠁ  ,SAMARITAN LETTER BIT
U+0802  ,ࠂ  ,SAMARITAN LETTER GAMAN
U+0803  ,ࠃ  ,SAMARITAN LETTER DALAT
U+0804  ,ࠄ  ,SAMARITAN LETTER IY
U+0805  ,ࠅ  ,SAMARITAN LETTER BAA
U+0806  ,ࠆ  ,SAMARITAN LETTER ZEN
U+0807  ,ࠇ  ,SAMARITAN LETTER IT
U+0808  ,ࠈ  ,SAMARITAN LETTER TIT
U+0809  ,ࠉ  ,SAMARITAN LETTER YUT
U+080A  ,ࠊ  ,SAMARITAN LETTER KAAF
U+080B  ,ࠋ  ,SAMARITAN LETTER LABAT
U+080C  ,ࠌ  ,SAMARITAN LETTER MIM
U+080D  ,ࠍ  ,SAMARITAN LETTER NUN
U+080E  ,ࠎ  ,SAMARITAN LETTER SINGAAT
U+080F  ,ࠏ  ,SAMARITAN LETTER IN
U+0810  ,ࠐ  ,SAMARITAN LETTER FI
U+0811  ,ࠑ  ,SAMARITAN LETTER TSAADIY
U+0812  ,ࠒ  ,SAMARITAN LETTER QUF
U+0813  ,ࠓ  ,SAMARITAN LETTER RISH
U+0814  ,ࠔ  ,SAMARITAN LETTER SHAN
U+0815  ,ࠕ  ,SAMARITAN LETTER TAAF
U+0816  ,ࠖ  ,SAMARITAN MARK IN
U+0817  ,ࠗ  ,SAMARITAN MARK IN-ALAF
U+0818  ,࠘  ,SAMARITAN MARK OCCLUSION
U+0819  ,࠙  ,SAMARITAN MARK DAGESH
U+081A  ,ࠚ  ,SAMARITAN MODIFIER LETTER EPENTHETIC YUT
U+081B  ,ࠛ  ,SAMARITAN MARK EPENTHETIC YUT
U+081C  ,ࠜ  ,SAMARITAN VOWEL SIGN LONG E
U+081D  ,ࠝ  ,SAMARITAN VOWEL SIGN E
U+081E  ,ࠞ  ,SAMARITAN VOWEL SIGN OVERLONG AA
U+081F  ,ࠟ  ,SAMARITAN VOWEL SIGN LONG AA
U+0820  ,ࠠ  ,SAMARITAN VOWEL SIGN AA
U+0821  ,ࠡ  ,SAMARITAN VOWEL SIGN OVERLONG A
U+0822  ,ࠢ  ,SAMARITAN VOWEL SIGN LONG A
U+0823  ,ࠣ  ,SAMARITAN VOWEL SIGN A
U+0824  ,ࠤ  ,SAMARITAN MODIFIER LETTER SHORT A
U+0825  ,ࠥ  ,SAMARITAN VOWEL SIGN SHORT A
U+0826  ,ࠦ  ,SAMARITAN VOWEL SIGN LONG U
