codepoint,character,character_name
U+0020, ,SPACE
U+0021,!,EXCLAMATION MARK
U+0022,"""",QUOTATION MARK
U+0023,#,NUMBER SIGN
U+0024,$,DOLLAR SIGN
U+0025,%,PERCENT SIGN
U+0026,&,AMPERSAND
U+0027,',APOSTROPHE
U+0028,(,LEFT PARENTHESIS
U+0029,),RIGHT PARENTHESIS
U+002A,*,ASTERISK
U+002B,+,PLUS SIGN
U+002C,",",COMMA
U+002D,-,HYPHEN-MINUS
U+002E,.,FULL STOP
U+002F,/,SOLIDUS
U+0030,0,DIGIT ZERO
U+0031,1,DIGIT ONE
U+0032,2,DIGIT TWO
U+0033,3,DIGIT THREE
U+0034,4,DIGIT FOUR
U+0035,5,DIGIT FIVE
U+0036,6,DIGIT SIX
U+0037,7,DIGIT SEVEN
U+0038,8,DIGIT EIGHT
U+0039,9,DIGIT NINE
U+003A,:,COLON
U+003B,;,SEMICOLON
U+003C,<,LESS-THAN SIGN
U+003D,=,EQUALS SIGN
U+003E,>,GREATER-THAN SIGN
U+003F,?,QUESTION MARK
U+0040,@,COMMERCIAL AT
U+0041,A,LATIN CAPITAL LETTER A
U+0042,B,LATIN CAPITAL LETTER B
U+0043,C,LATIN CAPITAL LETTER C
U+0044,D,LATIN CAPITAL LETTER D
U+0045,E,LATIN CAPITAL LETTER E
U+0046,F,LATIN CAPITAL LETTER F
U+0047,G,LATIN CAPITAL LETTER G
U+0048,H,LATIN CAPITAL LETTER H
U+0049,I,LATIN CAPITAL LETTER I
U+004A,J,LATIN CAPITAL LETTER J
U+004B,K,LATIN CAPITAL LETTER K
U+004C,L,LATIN CAPITAL LETTER L
U+004D,M,LATIN CAPITAL LETTER M
U+004E,N,LATIN CAPITAL LETTER N
U+004F,O,LATIN CAPITAL LETTER O
U+0050,P,LATIN CAPITAL LETTER P
U+0051,Q,LATIN CAPITAL LETTER Q
U+0052,R,LATIN CAPITAL LETTER R
U+0053,S,LATIN CAPITAL LETTER S
U+0054,T,LATIN CAPITAL LETTER T
U+0055,U,LATIN CAPITAL LETTER U
U+0056,V,LATIN CAPITAL LETTER V
U+0057,W,LATIN CAPITAL LETTER W
U+0058,X,LATIN CAPITAL LETTER X
U+0059,Y,LATIN CAPITAL LETTER Y
U+005A,Z,LATIN CAPITAL LETTER Z
U+005B,[,LEFT SQUARE BRACKET
U+005C,\,REVERSE SOLIDUS
U+005D,],RIGHT SQUARE BRACKET
U+005E,^,CIRCUMFLEX ACCENT
U+005F,_,LOW LINE
U+0060,`,GRAVE ACCENT
U+0061,a,LATIN SMALL LETTER A
U+0062,b,LATIN SMALL LETTER B
U+0063,c,LATIN SMALL LETTER C
U+0064,d,LATIN SMALL LETTER D
U+0065,e,LATIN SMALL LETTER E
U+0066,f,LATIN SMALL LETTER F
U+0067,g,LATIN SMALL LETTER G
U+0068,h,LATIN SMALL LETTER H
U+0069,i,LATIN SMALL LETTER I
U+006A,j,LATIN SMALL LETTER J
U+006B,k,LATIN SMALL LETTER K
U+006C,l,LATIN SMALL LETTER L
U+006D,m,LATIN SMALL LETTER M
U+006E,n,LATIN SMALL LETTER N
U+006F,o,LATIN SMALL LETTER O
U+0070,p,LATIN SMALL LETTER P
U+0071,q,LATIN SMALL LETTER Q
U+0072,r,LATIN SMALL LETTER R
U+0073,s,LATIN SMALL LETTER S
U+0074,t,LATIN SMALL LETTER T
U+0075,u,LATIN SMALL LETTER U
U+0076,v,LATIN SMALL LETTER V
U+0077,w,LATIN SMALL LETTER W
U+0078,x,LATIN SMALL LETTER X
U+0079,y,LATIN SMALL LETTER Y
U+007A,z,LATIN SMALL LETTER Z
U+007B,{,LEFT CURLY BRACKET
U+007C,|,VERTICAL LINE
U+007D,},RIGHT CURLY BRACKET
U+007E,~,TILDE
U+00A1,¡,INVERTED EXCLAMATION MARK
U+00A2,¢,CENT SIGN
U+00A3,£,POUND SIGN
U+00A4,¤,CURRENCY SIGN
U+00A5,¥,YEN SIGN
U+00A6,¦,BROKEN BAR
U+00A7,§,SECTION SIGN
U+00A8,¨,DIAERESIS
U+00A9,©,COPYRIGHT SIGN
U+00AA,ª,FEMININE ORDINAL INDICATOR
U+00AB,«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00AC,¬,NOT SIGN
U+00AE,®,REGISTERED SIGN
U+00AF,¯,MACRON
U+00B0,°,DEGREE SIGN
U+00B1,±,PLUS-MINUS SIGN
U+00B2,²,SUPERSCRIPT TWO
U+00B3,³,SUPERSCRIPT THREE
U+00B4,´,ACUTE ACCENT
U+00B5,µ,MICRO SIGN
U+00B6,¶,PILCROW SIGN
U+00B7,·,MIDDLE DOT
U+00B8,¸,CEDILLA
U+00B9,¹,SUPERSCRIPT ONE
U+00BA,º,MASCULINE ORDINAL INDICATOR
U+00BB,»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
U+00BC,¼,VULGAR FRACTION ONE QUARTER
U+00BD,½,VULGAR FRACTION ONE HALF
U+00BE,¾,VULGAR FRACTION THREE QUARTERS
U+00BF,¿,INVERTED QUESTION MARK
U+00C0,À,LATIN CAPITAL LETTER A WITH GRAVE
U+00C1,Á,LATIN CAPITAL LETTER A WITH ACUTE
U+00C2,Â,LATIN CAPITAL LETTER A WITH CIRCUMFLEX
U+00C3,Ã,LATIN CAPITAL LETTER A WITH TILDE
U+00C4,Ä,LATIN CAPITAL LETTER A WITH DIAERESIS
U+00C5,Å,LATIN CAPITAL LETTER A WITH RING ABOVE
U+00C6,Æ,LATIN CAPITAL LETTER AE
U+00C7,Ç,LATIN CAPITAL LETTER C WITH CEDILLA
U+00C8,È,LATIN CAPITAL LETTER E WITH GRAVE
U+00C9,É,LATIN CAPITAL LETTER E WITH ACUTE
U+00CA,Ê,LATIN CAPITAL LETTER E WITH CIRCUMFLEX
U+00CB,Ë,LATIN CAPITAL LETTER E WITH DIAERESIS
U+00CC,Ì,LATIN CAPITAL LETTER I WITH GRAVE
U+00CD,Í,LATIN CAPITAL LETTER I WITH ACUTE
U+00CE,Î,LATIN CAPITAL LETTER I WITH CIRCUMFLEX
U+00CF,Ï,LATIN CAPITAL LETTER I WITH DIAERESIS
U+00D0,Ð,LATIN CAPITAL LETTER ETH
U+00D1,Ñ,LATIN CAPITAL LETTER N WITH TILDE
U+00D2,Ò,LATIN CAPITAL LETTER O WITH GRAVE
U+00D3,Ó,LATIN CAPITAL LETTER O WITH ACUTE
U+00D4,Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX
U+00D5,Õ,LATIN CAPITAL LETTER O WITH TILDE
U+00D6,Ö,LATIN CAPITAL LETTER O WITH DIAERESIS
U+00D7,×,MULTIPLICATION SIGN
U+00D8,Ø,LATIN CAPITAL LETTER O WITH STROKE
U+00D9,Ù,LATIN CAPITAL LETTER U WITH GRAVE
U+00DA,Ú,LATIN CAPITAL LETTER U WITH ACUTE
U+00DB,Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX
U+00DC,Ü,LATIN CAPITAL LETTER U WITH DIAERESIS
U+00DD,Ý,LATIN CAPITAL LETTER Y WITH ACUTE
U+00DE,Þ,LATIN CAPITAL LETTER THORN
U+00DF,ß,LATIN SMALL LETTER SHARP S
U+00E0,à,LATIN SMALL LETTER A WITH GRAVE
U+00E1,á,LATIN SMALL LETTER A WITH ACUTE
U+00E2,â,LATIN SMALL LETTER A WITH CIRCUMFLEX
U+00E3,ã,LATIN SMALL LETTER A WITH TILDE
U+00E4,ä,LATIN SMALL LETTER A WITH DIAERESIS
U+00E5,å,LATIN SMALL LETTER A WITH RING ABOVE
U+00E6,æ,LATIN SMALL LETTER AE
U+00E7,ç,LATIN SMALL LETTER C WITH CEDILLA
U+00E8,è,LATIN SMALL LETTER E WITH GRAVE
U+00E9,é,LATIN SMALL LETTER E WITH ACUTE
U+00EA,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX
U+00EB,ë,LATIN SMALL LETTER E WITH DIAERESIS
U+00EC,ì,LATIN SMALL LETTER I WITH GRAVE
U+00ED,í,LATIN SMALL LETTER I WITH ACUTE
U+00EE,î,LATIN SMALL LETTER I WITH CIRCUMFLEX
U+00EF,ï,LATIN SMALL LETTER I WITH DIAERESIS
U+00F0,ð,LATIN SMALL LETTER ETH
U+00F1,ñ,LATIN SMALL LETTER N WITH TILDE
U+00F2,ò,LATIN SMALL LETTER O WITH GRAVE
U+00F3,ó,LATIN SMALL LETTER O WITH ACUTE
U+00F4,ô,LATIN SMALL LETTER O WITH CIRCUMFLEX
U+00F5,õ,LATIN SMALL LETTER O WITH TILDE
U+00F6,ö,LATIN SMALL LETTER O WITH DIAERESIS
U+00F7,÷,DIVISION SIGN
U+00F8,ø,LATIN SMALL LETTER O WITH STROKE
U+00F9,ù,LATIN SMALL LETTER U WITH GRAVE
U+00FA,ú,LATIN SMALL LETTER U WITH ACUTE
U+00FB,û,LATIN SMALL LETTER U WITH CIRCUMFLEX
U+00FC,ü,LATIN SMALL LETTER U WITH DIAERESIS
U+00FD,ý,LATIN SMALL LETTER Y WITH ACUTE
U+00FE,þ,LATIN SMALL LETTER THORN
U+00FF,ÿ,LATIN SMALL LETTER Y WITH DIAERESIS
U+0100,Ā,LATIN CAPITAL LETTER A WITH MACRON
U+0101,ā,LATIN SMALL LETTER A WITH MACRON
U+0102,Ă,LATIN CAPITAL LETTER A WITH BREVE
U+0103,ă,LATIN SMALL LETTER A WITH BREVE
U+0104,Ą,LATIN CAPITAL LETTER A WITH OGONEK
U+0105,ą,LATIN SMALL LETTER A WITH OGONEK
U+0106,Ć,LATIN CAPITAL LETTER C WITH ACUTE
U+0107,ć,LATIN SMALL LETTER C WITH ACUTE
U+0108,Ĉ,LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+0109,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX
U+010A,Ċ,LATIN CAPITAL LETTER C WITH DOT ABOVE
U+010B,ċ,LATIN SMALL LETTER C WITH DOT ABOVE
U+010C,Č,LATIN CAPITAL LETTER C WITH CARON
U+010D,č,LATIN SMALL LETTER C WITH CARON
U+010E,Ď,LATIN CAPITAL LETTER D WITH CARON
U+010F,ď,LATIN SMALL LETTER D WITH CARON
U+0110,Đ,LATIN CAPITAL LETTER D WITH STROKE
U+0111,đ,LATIN SMALL LETTER D WITH STROKE
U+0112,Ē,LATIN CAPITAL LETTER E WITH MACRON
U+0113,ē,LATIN SMALL LETTER E WITH MACRON
U+0114,Ĕ,LATIN CAPITAL LETTER E WITH BREVE
U+0115,ĕ,LATIN SMALL LETTER E WITH BREVE
U+0116,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE
U+0117,ė,LATIN SMALL LETTER E WITH DOT ABOVE
U+0118,Ę,LATIN CAPITAL LETTER E WITH OGONEK
U+0119,ę,LATIN SMALL LETTER E WITH OGONEK
U+011A,Ě,LATIN CAPITAL LETTER E WITH CARON
U+011B,ě,LATIN SMALL LETTER E WITH CARON
